user_id,item_id,rating,timestamp,timestamp_dt
693,382,4,875482689,1997-09-28 21:38:09
747,111,4,888733480,1998-03-01 06:24:40
201,212,4,884111899,1998-01-06 18:38:19
705,427,2,883518783,1997-12-30 21:53:03
880,849,3,880167918,1997-11-22 03:05:18
701,289,4,891446857,1998-04-01 16:07:37
787,750,5,888979075,1998-03-04 02:37:55
751,181,5,889132397,1998-03-05 21:13:17
537,762,3,886030051,1998-01-28 23:27:31
447,1142,5,878854481,1997-11-06 22:14:41
276,357,5,874787526,1997-09-20 20:32:06
387,76,3,886484215,1998-02-03 05:36:55
405,789,1,885547268,1998-01-23 09:21:08
174,1033,1,886515591,1998-02-03 14:19:51
207,248,3,877878409,1997-10-26 15:06:49
839,410,1,875752274,1997-10-02 00:31:14
1,150,5,876892196,1997-10-15 05:09:56
13,98,4,881515011,1997-12-07 17:16:51
561,215,3,885809872,1998-01-26 10:17:52
632,73,3,879459649,1997-11-13 22:20:49
586,655,4,884066294,1998-01-06 05:58:14
15,459,5,879455562,1997-11-13 21:12:42
747,476,3,888733595,1998-03-01 06:26:35
198,526,4,884208273,1998-01-07 21:24:33
379,636,3,880525502,1997-11-26 06:25:02
149,300,3,883512715,1997-12-30 20:11:55
838,298,3,887064476,1998-02-09 22:47:56
892,222,4,886608094,1998-02-04 16:01:34
880,64,5,880175646,1997-11-22 05:14:06
286,559,4,877534081,1997-10-22 15:28:01
727,526,4,883711113,1998-01-02 03:18:33
796,181,5,892660177,1998-04-15 17:09:37
177,271,2,882141868,1997-12-14 23:24:28
336,105,4,877755098,1997-10-25 04:51:38
158,181,3,880132383,1997-11-21 17:13:03
280,68,3,891701066,1998-04-04 14:44:26
639,528,4,891239239,1998-03-30 06:27:19
104,411,1,888465739,1998-02-26 04:02:19
911,87,5,892839056,1998-04-17 18:50:56
164,1016,3,889402091,1998-03-09 00:08:11
201,71,3,884111270,1998-01-06 18:27:50
846,633,3,883948534,1998-01-04 21:15:34
372,327,5,876869183,1997-10-14 22:46:23
303,17,4,879466830,1997-11-14 00:20:30
256,1150,5,882152570,1997-12-15 02:22:50
728,323,3,879442685,1997-11-13 17:38:05
456,209,3,881372849,1997-12-06 01:47:29
690,203,4,881179631,1997-12-03 20:07:11
43,496,5,883955605,1998-01-04 23:13:25
796,1090,4,893194992,1998-04-21 21:43:12
328,657,4,885046134,1998-01-17 14:08:54
116,289,4,876452094,1997-10-10 02:54:54
328,371,4,885046773,1998-01-17 14:19:33
645,48,4,892053748,1998-04-08 16:42:28
481,197,3,885828773,1998-01-26 15:32:53
363,658,3,891496543,1998-04-02 05:55:43
883,971,3,891693200,1998-04-04 12:33:20
665,1047,1,884291376,1998-01-08 20:29:36
922,391,3,891450840,1998-04-01 17:14:00
5,446,4,875720845,1997-10-01 15:47:25
793,106,3,875104340,1997-09-24 12:32:20
546,892,4,885141260,1998-01-18 16:34:20
304,300,5,884968415,1998-01-16 16:33:35
764,176,4,876244856,1997-10-07 17:20:56
332,763,5,887938421,1998-02-20 01:33:41
720,1062,5,891262812,1998-03-30 13:00:12
535,192,4,879617931,1997-11-15 18:18:51
408,312,3,889680073,1998-03-12 05:21:13
279,195,4,875310631,1997-09-26 21:50:31
790,584,4,885156773,1998-01-18 20:52:53
5,449,2,875636099,1997-09-30 16:14:59
297,272,5,884039431,1998-01-05 22:30:31
577,284,4,880470732,1997-11-25 15:12:12
145,235,4,875270507,1997-09-26 10:41:47
184,553,3,889909746,1998-03-14 21:09:06
313,58,3,891015387,1998-03-27 16:16:27
447,70,3,878856483,1997-11-06 22:48:03
605,526,5,879426371,1997-11-13 13:06:11
934,89,5,891191157,1998-03-29 17:05:57
318,1032,3,884498210,1998-01-11 05:56:50
314,1217,2,877891638,1997-10-26 18:47:18
566,186,3,881649893,1997-12-09 06:44:53
39,302,5,891400188,1998-04-01 03:09:48
630,832,2,885667528,1998-01-24 18:45:28
807,1,4,892528231,1998-04-14 04:30:31
938,111,5,891356742,1998-03-31 15:05:42
476,748,2,883365634,1997-12-29 03:20:34
819,319,4,879952627,1997-11-19 15:17:07
588,184,4,890025951,1998-03-16 05:25:51
296,22,4,884197068,1998-01-07 18:17:48
437,13,4,880141129,1997-11-21 19:38:49
504,676,4,887908756,1998-02-19 17:19:16
158,450,3,880134815,1997-11-21 17:53:35
201,473,3,884141470,1998-01-07 02:51:10
870,202,3,879714181,1997-11-16 21:03:01
870,384,3,875680597,1997-10-01 04:36:37
756,1274,2,874828278,1997-09-21 07:51:18
489,887,2,891447845,1998-04-01 16:24:05
292,64,5,881105373,1997-12-02 23:29:33
650,357,4,891372286,1998-03-31 19:24:46
460,321,3,882910510,1997-12-23 20:55:10
834,282,4,890863052,1998-03-25 21:57:32
766,265,3,891309357,1998-03-31 01:55:57
591,86,5,891031171,1998-03-27 20:39:31
533,8,3,879191938,1997-11-10 19:58:58
405,581,3,885546530,1998-01-23 09:08:50
363,150,5,891496667,1998-04-02 05:57:47
136,515,5,882694387,1997-12-21 08:53:07
885,70,5,885713585,1998-01-25 07:33:05
848,174,5,887038104,1998-02-09 15:28:24
753,304,4,891399686,1998-04-01 03:01:26
897,290,4,879993457,1997-11-20 02:37:37
846,204,3,883948141,1998-01-04 21:09:01
